title,categoryName,address,city,postalCode,state,phone,website,totalScore,reviewsCount,url,placeId,description,openingHours,emails,engineers,googleAds,onlineBooking,searchString,notes
Cavendish Row Plumbing Co (Demo),Plumber,"88 Station Road, Leicester",Leicester,LE2 9FG,Leicestershire,0116 496 0002,https://www.cavendish-row-plumbing-co.example.com,4.6,23,https://www.google.com/maps/place/?q=place_id:DEMO0035,DEMOPLACE0035,"Drainage, plumbing and heating specialists serving Leicester and the surrounding area.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@cavendish-row-plumbing-co.example.com,12,no,no,plumber in Leicester,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Marlow Vale Gas & Heating (Demo),Heating contractor,"82 High Street, Bristol",Bristol,BS5 2JX,Bristol,0117 496 0002,https://www.marlow-vale-gas--heating.example.com,4.8,402,https://www.google.com/maps/place/?q=place_id:DEMO0036,DEMOPLACE0036,"Emergency plumbers on call 24 hours a day, 7 days a week. Same-day response across Bristol.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,6,yes,no,heating engineer in Bristol,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Marlow Vale Plumbing Co (Demo),Boiler supplier,"151 High Street, Reading",Reading,RG1 7GU,Berkshire,0118 496 0002,https://www.marlow-vale-plumbing-co.example.com,4.3,167,https://www.google.com/maps/place/?q=place_id:DEMO0037,DEMOPLACE0037,Family-run plumbing and heating company covering Reading. Emergency callouts available.,"[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@marlow-vale-plumbing-co.example.com,8,yes,no,boiler repair in Reading,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Pinnacle Row Heating & Gas (Demo),Plumber,"64 Church Way, Edinburgh",Edinburgh,EH11 7GB,Scotland,0131 496 0002,,4.4,511,https://www.google.com/maps/place/?q=place_id:DEMO0038,DEMOPLACE0038,Family-run plumbing and heating company covering Edinburgh. Emergency callouts available.,"[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",,2,no,no,emergency plumber in Edinburgh,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Quarryhill Drains & Plumbing (Demo),HVAC contractor,"157 High Street, Glasgow",Glasgow,G41 9AX,Scotland,0141 496 0002,https://www.quarryhill-drains--plumbing.example.com,4.2,74,https://www.google.com/maps/place/?q=place_id:DEMO0039,DEMOPLACE0039,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,,no,no,plumbing and heating in Glasgow,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Merrivale Heating Solutions (Demo),Plumber,"108 Park Avenue, Liverpool",Liverpool,L18 4JE,Merseyside,0151 496 0002,,4.5,138,https://www.google.com/maps/place/?q=place_id:DEMO0040,DEMOPLACE0040,24/7 emergency plumbing and heating callouts across Liverpool. Gas Safe registered engineers.,"[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",,12,no,no,plumber in Liverpool,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Stonebridge Boiler Care (Demo),Heating contractor,"12 Church Way, Newcastle upon Tyne",Newcastle upon Tyne,NE6 7LH,Tyne and Wear,0191 498 0002,https://www.stonebridge-boiler-care.example.com,4.2,604,https://www.google.com/maps/place/?q=place_id:DEMO0041,DEMOPLACE0041,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@stonebridge-boiler-care.example.com,8,yes,no,heating engineer in Newcastle upon Tyne,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Dunsmore Heating Services (Demo),Boiler supplier,"23 Mill Lane, Cardiff",Cardiff,CF24 1NY,Wales,029 2018 0002,https://www.dunsmore-heating-services.example.com,4.0,288,https://www.google.com/maps/place/?q=place_id:DEMO0042,DEMOPLACE0042,"Emergency plumbers on call 24 hours a day, 7 days a week. Same-day response across Cardiff.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@dunsmore-heating-services.example.com,12,yes,no,boiler repair in Cardiff,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Ashdown Plumbing Co (Demo),Plumber,"238 Bridge Street, Bradford",Bradford,BD7 8LA,West Yorkshire,07700 900163,,4.6,56,https://www.google.com/maps/place/?q=place_id:DEMO0043,DEMOPLACE0043,Family-run plumbing and heating company covering Bradford. Emergency callouts available.,"[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,18,no,no,emergency plumber in Bradford,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Kingsmoor Plumbing Co (Demo),HVAC contractor,"228 Park Avenue, Coventry",Coventry,CV1 7PE,West Midlands,07700 900270,https://www.kingsmoor-plumbing-co.example.com,4.1,56,https://www.google.com/maps/place/?q=place_id:DEMO0044,DEMOPLACE0044,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates. Open 24 hours for emergencies.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",info@kingsmoor-plumbing-co.example.com,,no,no,plumbing and heating in Coventry,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Cavendish Row Plumbing & Heating (Demo),Plumber,"45 Bridge Street, Derby",Derby,DE22 6FU,Derbyshire,01632 960011,https://www.cavendish-row-plumbing--heating.example.com,4.6,138,https://www.google.com/maps/place/?q=place_id:DEMO0045,DEMOPLACE0045,"Drainage, plumbing and heating specialists serving Derby and the surrounding area.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@cavendish-row-plumbing--heating.example.com,4,no,no,plumber in Derby,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Kestrel Boiler Care (Demo),Heating contractor,"169 Park Avenue, Norwich",Norwich,NR3 5SE,Norfolk,01632 960012,https://www.kestrel-boiler-care.example.com,4.0,74,https://www.google.com/maps/place/?q=place_id:DEMO0046,DEMOPLACE0046,Family-run plumbing and heating company covering Norwich. Emergency callouts available.,"[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",,3,yes,no,heating engineer in Norwich,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Merrivale Heating Services (Demo),Boiler supplier,"54 Park Avenue, Plymouth",Plymouth,PL4 9UP,Devon,01632 960013,https://www.merrivale-heating-services.example.com,4.9,511,https://www.google.com/maps/place/?q=place_id:DEMO0047,DEMOPLACE0047,"Drainage, plumbing and heating specialists serving Plymouth and the surrounding area.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,12,no,no,boiler repair in Plymouth,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Pinnacle Row Heating Solutions (Demo),Plumber,"91 Church Way, Southampton",Southampton,SO15 1FS,Hampshire,01632 960014,https://www.pinnacle-row-heating-solutions.example.com,4.6,511,https://www.google.com/maps/place/?q=place_id:DEMO0048,DEMOPLACE0048,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@pinnacle-row-heating-solutions.example.com,18,yes,no,emergency plumber in Southampton,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Merrivale Plumbing Services (Demo),HVAC contractor,"87 Park Avenue, Brighton",Brighton,BN2 5BB,East Sussex,01632 960015,https://www.merrivale-plumbing-services.example.com,4.0,8,https://www.google.com/maps/place/?q=place_id:DEMO0049,DEMOPLACE0049,"Drainage, plumbing and heating specialists serving Brighton and the surrounding area.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,12,yes,no,plumbing and heating in Brighton,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Jubilee Row Drains & Plumbing (Demo),Plumber,"64 Bridge Street, Milton Keynes",Milton Keynes,MK9 2PG,Buckinghamshire,01632 960016,https://www.jubilee-row-drains--plumbing.example.com,4.5,511,https://www.google.com/maps/place/?q=place_id:DEMO0050,DEMOPLACE0050,"Boiler repairs, servicing and new boiler installations for domestic customers in Milton Keynes. Open 24 hours for emergencies.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",info@jubilee-row-drains--plumbing.example.com,12,no,no,plumber in Milton Keynes,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Fairbourne Plumbing Services (Demo),Heating contractor,"92 Victoria Road, Stockport",Stockport,SK3 1XR,Greater Manchester,0161 496 0006,https://www.fairbourne-plumbing-services.example.com,4.5,426,https://www.google.com/maps/place/?q=place_id:DEMO0051,DEMOPLACE0051,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@fairbourne-plumbing-services.example.com,8,yes,no,heating engineer in Stockport,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Stonebridge Heating Solutions (Demo),Boiler supplier,"25 Church Way, London",London,SE1 9UU,Greater London,07700 900120,https://www.stonebridge-heating-solutions.example.com,4.5,604,https://www.google.com/maps/place/?q=place_id:DEMO0052,DEMOPLACE0052,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",,18,yes,no,boiler repair in London,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Westerby Heating Solutions (Demo),Plumber,"207 Park Avenue, London",London,N4 8LS,Greater London,07700 900248,,4.4,426,https://www.google.com/maps/place/?q=place_id:DEMO0053,DEMOPLACE0053,"Emergency plumbers on call 24 hours a day, 7 days a week. Same-day response across London.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,3,no,no,emergency plumber in London,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Lintonbury Boiler Care (Demo),HVAC contractor,"187 Bridge Street, Manchester",Manchester,M20 1FH,Greater Manchester,0161 496 0007,https://www.lintonbury-boiler-care.example.com,4.1,167,https://www.google.com/maps/place/?q=place_id:DEMO0054,DEMOPLACE0054,"Boiler repairs, servicing and new boiler installations for domestic customers in Manchester.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",,8,no,yes,plumbing and heating in Manchester,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Quarryhill Plumbing Co (Demo),Plumber,"80 Station Road, Salford",Salford,M50 3XH,Greater Manchester,0161 496 0008,https://www.quarryhill-plumbing-co.example.com,4.1,96,https://www.google.com/maps/place/?q=place_id:DEMO0055,DEMOPLACE0055,"Local plumber in Salford for leaks, blockages, bathrooms and general plumbing repairs.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@quarryhill-plumbing-co.example.com,6,yes,no,plumber in Salford,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Blackthorn Heating & Gas (Demo),Heating contractor,"10 Queens Road, Birmingham",Birmingham,B15 2PR,West Midlands,07700 900871,https://www.blackthorn-heating--gas.example.com,4.2,251,https://www.google.com/maps/place/?q=place_id:DEMO0056,DEMOPLACE0056,"Boiler repairs, servicing and new boiler installations for domestic customers in Birmingham.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,2,yes,no,heating engineer in Birmingham,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Granville Plumbing Group (Demo),Boiler supplier,"148 Station Road, Solihull",Solihull,B91 8EZ,West Midlands,0121 496 0006,,4.2,167,https://www.google.com/maps/place/?q=place_id:DEMO0057,DEMOPLACE0057,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates. Open 24 hours for emergencies.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",,8,no,no,boiler repair in Solihull,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Quarryhill Boiler Care (Demo),Plumber,"51 Victoria Road, Leeds",Leeds,LS11 3WH,West Yorkshire,07700 900292,https://www.quarryhill-boiler-care.example.com,4.2,138,https://www.google.com/maps/place/?q=place_id:DEMO0058,DEMOPLACE0058,Family-run plumbing and heating company covering Leeds. Emergency callouts available.,"[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@quarryhill-boiler-care.example.com,2,yes,no,emergency plumber in Leeds,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Vantage Heating Services (Demo),HVAC contractor,"215 Queens Road, Sheffield",Sheffield,S11 5DX,South Yorkshire,0114 496 0003,https://www.vantage-heating-services.example.com,4.4,402,https://www.google.com/maps/place/?q=place_id:DEMO0059,DEMOPLACE0059,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@vantage-heating-services.example.com,8,no,yes,plumbing and heating in Sheffield,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Harrowfield Boiler Care (Demo),Plumber,"186 Park Avenue, Nottingham",Nottingham,NG7 7AD,Nottinghamshire,0115 496 0003,https://www.harrowfield-boiler-care.example.com,4.4,96,https://www.google.com/maps/place/?q=place_id:DEMO0060,DEMOPLACE0060,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,6,yes,no,plumber in Nottingham,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Harrowfield Plumbing Group (Demo),Heating contractor,"104 Church Way, Leicester",Leicester,LE2 6FS,Leicestershire,0116 496 0003,https://www.harrowfield-plumbing-group.example.com,4.5,96,https://www.google.com/maps/place/?q=place_id:DEMO0061,DEMOPLACE0061,"Drainage, plumbing and heating specialists serving Leicester and the surrounding area.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@harrowfield-plumbing-group.example.com,6,no,no,heating engineer in Leicester,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Blackthorn Gas & Heating (Demo),Boiler supplier,"131 Station Road, Bristol",Bristol,BS5 8AB,Bristol,07700 900207,https://www.blackthorn-gas--heating.example.com,4.9,112,https://www.google.com/maps/place/?q=place_id:DEMO0062,DEMOPLACE0062,"Boiler repairs, servicing and new boiler installations for domestic customers in Bristol.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@blackthorn-gas--heating.example.com,6,no,no,boiler repair in Bristol,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Fairbourne Plumbing Group (Demo),Plumber,"139 Victoria Road, Reading",Reading,RG1 5AX,Berkshire,0118 496 0003,https://www.fairbourne-plumbing-group.example.com,4.5,112,https://www.google.com/maps/place/?q=place_id:DEMO0063,DEMOPLACE0063,24/7 emergency plumbing and heating callouts across Reading. Gas Safe registered engineers.,"[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@fairbourne-plumbing-group.example.com,18,no,no,emergency plumber in Reading,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Kestrel Plumbing Group (Demo),HVAC contractor,"88 Bridge Street, Edinburgh",Edinburgh,EH11 8UR,Scotland,0131 496 0003,,4.6,426,https://www.google.com/maps/place/?q=place_id:DEMO0064,DEMOPLACE0064,"Emergency plumbers on call 24 hours a day, 7 days a week. Same-day response across Edinburgh.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",,,no,no,plumbing and heating in Edinburgh,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Kestrel Plumbing & Heating (Demo),Plumber,"35 High Street, Glasgow",Glasgow,G41 1XX,Scotland,07700 900246,https://www.kestrel-plumbing--heating.example.com,4.7,511,https://www.google.com/maps/place/?q=place_id:DEMO0065,DEMOPLACE0065,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades. Open 24 hours for emergencies.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",,12,no,no,plumber in Glasgow,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Granville Plumbing & Heating (Demo),Heating contractor,"155 Station Road, Liverpool",Liverpool,L18 3JX,Merseyside,0151 496 0003,https://www.granville-plumbing--heating.example.com,4.1,56,https://www.google.com/maps/place/?q=place_id:DEMO0066,DEMOPLACE0066,24/7 emergency plumbing and heating callouts across Liverpool. Gas Safe registered engineers.,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",info@granville-plumbing--heating.example.com,18,yes,no,heating engineer in Liverpool,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Blackthorn Boiler Care (Demo),Boiler supplier,"66 Station Road, Newcastle upon Tyne",Newcastle upon Tyne,NE6 5XQ,Tyne and Wear,0191 498 0003,https://www.blackthorn-boiler-care.example.com,4.8,167,https://www.google.com/maps/place/?q=place_id:DEMO0067,DEMOPLACE0067,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades. Open 24 hours for emergencies.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",info@blackthorn-boiler-care.example.com,2,no,no,boiler repair in Newcastle upon Tyne,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Vantage Heating & Gas (Demo),Plumber,"172 Bridge Street, Cardiff",Cardiff,CF24 5DD,Wales,029 2018 0003,https://www.vantage-heating--gas.example.com,4.7,167,https://www.google.com/maps/place/?q=place_id:DEMO0068,DEMOPLACE0068,"Local plumber in Cardiff for leaks, blockages, bathrooms and general plumbing repairs.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@vantage-heating--gas.example.com,18,no,no,emergency plumber in Cardiff,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Northgate Plumbing Co (Demo),HVAC contractor,"186 Church Way, Bradford",Bradford,BD7 2SL,West Yorkshire,01632 960017,,4.1,138,https://www.google.com/maps/place/?q=place_id:DEMO0069,DEMOPLACE0069,"Emergency plumbers on call 24 hours a day, 7 days a week. Same-day response across Bradford.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,,no,no,plumbing and heating in Bradford,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
